"english","hindi","transliteration"
"I","मैं","main"
"you (singular)","तुम","tum"
"he/she/it/they (singular)","वह","vah"
"we","हम","ham"
"you (plural)","तुम","tum"
"they (plural)","वे","ve"
"this","यह","yah"
"that","वह","vah"
"here","यहाँ","yahaan"
"there","वहाँ","vahaan"
"who","कौन","kaun"
"what","क्या","kya"
"where","कहाँ","kahaan"
"when","कब","kab"
"how","कैसे","kaise"
"not","नहीं","nahin"
"all","सब","sab"
"many","बहुत","bahut"
"some","कुछ","kuch"
"few","थोड़ा","thoda"
"other","दूसरा","doosra"
"one","एक","ek"
"two","दो","do"
"three","तीन","tin"
"four","चार","char"
"five","पाँच","paanch"
"big","बड़ा","bada"
"long","लम्बा","lamba"
"wide","चौड़ा","chauda"
"thick","गाढ़ा","gadha"
"heavy","भारी","bhari"
"small","छोटा","chhota"
"short","छोटा","chhota"
"narrow","तंग","tang"
"thin","पतला","patla"
"woman","औरत","aurat"
"man","आदमी","aadmi"
"human being","इंसान","insaan"
"child","बच्चा","bachcha"
"wife","पत्नी","patni"
"husband","पति","pati"
"mother","माता","mata"
"father","पिता","pita"
"animal","जानवर","janvar"
"fish","मछली","machli"
"bird","चिड़िया","chidiya"
"dog","कुत्ता","kutta"
"louse","जूँ","jun"
"snake","साँप","saanp"
"worm","कीड़ा","keeda"
"tree","पेड़","ped"
"forest","जंगल","jangal"
"stick","डंडा","danda"
"fruit","फल","phal"
"seed","बीज","bij"
"leaf","पत्ता","patta"
"root","जड़","jad"
"tree bark","छाल","chhal"
"flower","फूल","phul"
"grass","घास","ghas"
"rope","रस्सी","rassi"
"skin","चमड़ी","chamdi"
"meat","माँस","maans"
"blood","ख़ून","khun"
"bone","हड्डी","haddi"
"fat (noun)","चरबी","charbi"
"egg","अंडा","anda"
"horn","सींग","sing"
"tail","पूँछ","poonch"
"feather","पंख","pankh"
"hair","बाल","bal"
"head","सिर","sir"
"ear","कान","kan"
"eye","आँख","aankh"
"nose","नाक","nak"
"mouth","मुँह","munh"
"tooth","दाँत","daant"
"tongue","जीभ","jibh"
"fingernail","नाख़ुन","nakhun"
"foot","पैर","pair"
"leg","टांग","tang"
"knee","घुटना","ghutna"
"hand","हाथ","haath"
"wing","पंख","pankh"
"belly","पेट","pet"
"guts","अंतड़ी","antari"
"neck","गरदन","gardan"
"back","पीठ","peeth"
"breast","छाती","chhati"
"heart","दिल","dil"
"liver","जिगर","jigar"
"to drink","पीना","peena"
"to eat","खाना","khana"
"to bite","काटना","katna"
"to suck","चूसना","choosna"
"to spit","थूकना","thookna"
"to vomit","उल्टी करना","ulti karna"
"to blow","फूँकना","phoonkna"
"to breathe","साँस लेना","saans lena"
"to laugh","हँसना","hansna"
"to see","देखना","dekhna"
"to hear","सुनना","sunna"
"to know","जानना","janna"
"to think","सोचना","sochna"
"to smell","सूँघना","soonghna"
"to fear","डरना","darna"
"to sleep","सोना","sona"
"to live","जीना","jeena"
"to die","मरना","marna"
"to kill","मारना","marna"
"to fight","लड़ना","ladna"
"to hunt","शिकार करना","shikar karna"
"to hit","मारना","marna"
"to cut","काटना","katna"
"to split","बांटना","baantna"
"to stab","भोंकना","bhonkna"
"to scratch","खरोंचना","kharonchna"
"to dig","खोदना","khodna"
"to swim","तैरना","tairna"
"to fly","उड़ना","udna"
"to walk","चलना","chalna"
"to come","आना","aana"
"to lie down","लेटना","letna"
"to sit","बैठना","baithna"
"to stand","खड़ा होना","khada hona"
"to turn (intransitive)","मुड़ना","mudna"
"to fall","गिरना","girna"
"to give","देना","dena"
"to hold","पकड़ना","pakadna"
"to squeeze","दबाना","dabana"
"to rub","मलना","malna"
"to wash","धोना","dhona"
"to wipe","पोंछना","ponchna"
"to pull","खींचना","kheenchna"
"to push","धक्का देना","dhakka dena"
"to throw","फेंकना","phenkna"
"to tie","बाँधना","bandhna"
"to sew","सीना","sina"
"to count","गिनना","ginna"
"to say","कहना","kahna"
"to sing","गाना","gana"
"to play","खेलना","khelna"
"to float","तैरना","tairna"
"to flow","बहना","bahna"
"to freeze","जमना","jamna"
"to swell","सूजना","soojna"
"sun","सूरज","suraj"
"moon","चांद","chaand"
"star","तारा","tara"
"water","पानी","pani"
"rain","बारिश","barish"
"river","नदी","nadi"
"lake","झील","jheel"
"sea","समन्दर","samandar"
"salt","नमक","namak"
"stone","पत्थर","patthar"
"sand","रेत","ret"
"dust","धूल","dhul"
"earth","धरती","dharti"
"cloud","बादल","badal"
"fog","धुंध","dhundh"
"sky","आसमान","aasman"
"wind","हवा","hawa"
"snow","बर्फ़","barf"
"ice","बर्फ़","barf"
"smoke","धुआँ","dhuan"
"fire","आग","aag"
"ash","राख","raakh"
"to burn","जलना","jalna"
"road","सड़क","sadak"
"mountain","पहाड़","pahad"
"red","लाल","lal"
"green","हरा","hara"
"yellow","पीला","peela"
"white","सफ़ेद","safed"
"black","काला","kala"
"night","रात","raat"
"day","दिन","din"
"year","साल","saal"
"warm","गर्म","garm"
"cold","ठंडा","thanda"
"full","भरा","bhara"
"new","नया","naya"
"old","पुराना","purana"
"good","अच्छा","accha"
"bad","बुरा","bura"
"rotten","सड़ा","sada"
"dirty","गंदा","ganda"
"straight","सीधा","seedha"
"round","गोल","gol"
"sharp","तेज़","tez"
"dull","सुस्त","sust"
"smooth","चिकना","chikna"
"wet","गीला","geela"
"dry","सूखा","sookha"
"correct","सही","sahi"
"near","पास","paas"
"far","दूर","door"
"right","दाएँ","daan"
"left","बाएँ","baan"
"at","पर","par"
"in","में","mein"
"with","के साथ","ke saath"
"and","और","aur"
"if","अगर","agar"
"because","क्योंकि","kyonki"
"name","नाम","naam"
