english,spanish
I,Yo
you (singular),tú
he/she,él/ella
we,nosotros/nosotras
you (plural),ustedes
they (plural),ellos/ellas
this,este/esta
that,ese/esa
here,aquí
there,allí
who,quién/quienes
what,qué
where,dónde
when,cuándo
how,cómo
not,no
all,todos/todas
many,muchos/muchas
some,algunos/algunas
few,pocos/pocas
other,otro/otra
one,un/una
two,dos
three,tres
four,cuatro
five,cinco
big,grande
long,largo/larga
wide,ancho/ancha
thick,grueso/gruesa
heavy,pesado/pesada
small,pequeño/pequeña
short,corto/corta
narrow,estrecho/estrecha
thin,delgado/delgada
woman,la mujer
man,el hombre
human being,el ser humano
child,el niño/la niña
wife,la esposa
husband,el esposo
mother,la madre
father,el padre
animal,el animal
fish,el pez
bird,el pájaro
dog,el perro
louse,el piojo
snake,la serpiente
worm,el gusano
tree,el árbol
forest,el bosque
stick,el palo
fruit,la fruta
seed,la semilla
leaf,la hoja
root,la raíz
tree bark,la corteza del árbol
flower,la flor
grass,la hierba
rope,la cuerda
skin,la piel
meat,la carne
blood,la sangre
bone,el hueso
fat (noun),la grasa
egg,el huevo
horn,el cuerno
tail,la cola
feather,la pluma
hair,el cabello
head,la cabeza
ear,la oreja
eye,el ojo
nose,la nariz
mouth,la boca
tooth,el diente
tongue,la lengua
fingernail,la uña
foot,el pie
leg,la pierna
knee,la rodilla
hand,la mano
wing,el ala
belly,el vientre
guts,las tripas
neck,el cuello
back,la espalda
breast,el pecho
heart,el corazón
liver,el hígado
to drink,beber
to eat,comer
to bite,morder
to suck,chupar
to spit,escupir
to vomit,vomitar
to blow,soplar
to breathe,respirar
to laugh,reír
to see,ver
to hear,oír
to know,saber/conocer
to think,pensar
to smell,oler
to fear,temer/tener miedo de
to sleep,dormir
to live,vivir
to die,morir
to kill,matar
to fight,pelear
to hunt,cazar
to hit,golpear
to cut,cortar
to split,dividir
to stab,apuñalar
to scratch,rascar
to dig,cavar
to swim,nadar
to fly,volar
to walk,caminar
to come,venir
to lie down,acostarse
to sit,sentarse
to stand,estar de pie
to turn (intransitive),girar
to fall,caer
to give,dar
to hold,sostener/agarrar
to squeeze,apretar
to rub,frotar
to wash,lavar
to wipe,limpiar
to pull,tirar
to push,empujar
to throw,lanzar
to tie,atar
to sew,coser
to count,contar
to say,decir
to sing,cantar
to play,jugar
to float,flotar
to flow,fluir
to freeze,congelar
to swell,hincharse
sun,el sol
moon,la luna
star,la estrella
water,el agua
rain,la lluvia
river,el río
lake,el lago
sea,el mar
salt,la sal
stone,la piedra
sand,la arena
dust,el polvo
earth,la tierra
cloud,la nube
fog,la niebla
sky,el cielo
wind,el viento
snow,la nieve
ice,el hielo
smoke,el humo
fire,el fuego
ash,la ceniza
to burn,quemar
road,el camino
mountain,la montaña
red,rojo/roja
green,verde
yellow,amarillo/amarilla
white,blanco/blanca
black,negro/negra
night,la noche
day,el día
year,el año
warm,cálido/cálida
cold,frío/fría
full,lleno/llena
new,nuevo/nueva
old,viejo/vieja
good,bueno/buena
bad,malo/mala
rotten,podrido/podrida
dirty,sucio/sucia
straight,recto/recta
round,redondo/redonda
sharp,afilado/afilada
dull,desafilado/sin filo
smooth,liso/lisa
wet,mojado/mojada
dry,seco/seca
correct,correcto/correcta
near,cerca
far,lejos
right,derecho/derecha
left,izquierdo/izquierda
at,en
in,en
with,con
and,y
if,si
because,porque
name,el nombre
